,NL -> BE,DE -> BE,FR -> BE,UK -> BE
2020-01-13 16:00,1454,3115,0,0
2020-01-13 17:00,1320,3988,0,0
2020-01-13 18:00,1346,4008,0,0
2020-01-13 19:00,987,4008,0,0
2020-01-13 20:00,870,4008,0,0
2020-01-13 21:00,862,4006,0,0
2020-01-13 22:00,1060,3989,0,0
2020-01-13 23:00,1329,3999,192,0
2020-01-14 0:00,1581,3616,332,0
2020-01-14 1:00,1258,3999,360,0
2020-01-14 2:00,1020,3989,651,0
2020-01-14 3:00,1450,3065,813,0
2020-01-14 4:00,1593,2114,916,0
2020-01-14 5:00,2104,1399,288,0
2020-01-14 6:00,1783,2931,0,0
2020-01-14 7:00,1131,1952,0,0
2020-01-14 8:00,218,0,225,460
2020-01-14 9:00,0,0,0,2592
2020-01-14 10:00,130,0,200,1956
2020-01-14 11:00,111,0,8,1652
2020-01-14 12:00,0,0,0,2518
2020-01-14 13:00,0,0,23,2686
2020-01-14 14:00,0,0,554,1721
2020-01-14 15:00,0,0,1414,0
2020-01-14 16:00,0,0,1605,0
2020-01-14 17:00,0,0,1642,0
2020-01-14 18:00,424,10,672,0
2020-01-14 19:00,892,0,0,0
2020-01-14 20:00,619,0,0,0
2020-01-14 21:00,534,43,266,0
2020-01-14 22:00,885,1165,0,0
2020-01-14 23:00,1613,2325,0,0
2020-01-15 0:00,1892,1278,0,0
2020-01-15 1:00,1925,1356,0,0
2020-01-15 2:00,1912,1924,0,0
2020-01-15 3:00,1667,1449,0,0
2020-01-15 4:00,1543,286,0,0
2020-01-15 5:00,1876,852,0,0
2020-01-15 6:00,1187,53,0,0
2020-01-15 7:00,21,0,221,1613
2020-01-15 8:00,245,0,669,9
2020-01-15 9:00,327,0,1029,0
2020-01-15 10:00,427,14,1485,0
2020-01-15 11:00,491,0,1645,0
2020-01-15 12:00,242,1875,1634,0
2020-01-15 13:00,0,1945,1886,0
2020-01-15 14:00,0,1764,2005,0
2020-01-15 15:00,436,0,2157,0
2020-01-15 16:00,560,0,1946,0
2020-01-15 17:00,565,0,1801,0
2020-01-15 18:00,1263,612,390,0
2020-01-15 19:00,1658,1849,0,0
2020-01-15 20:00,2141,101,0,0
2020-01-15 21:00,2087,1577,0,0
2020-01-15 22:00,2371,2826,0,0
2020-01-15 23:00,2444,3957,0,0
2020-01-16 0:00,2705,4008,0,0
2020-01-16 1:00,2756,4008,0,0
2020-01-16 2:00,2724,4008,0,0
2020-01-16 3:00,2437,3994,0,0
2020-01-16 4:00,2379,3322,0,0
2020-01-16 5:00,2139,2274,0,1800
2020-01-16 6:00,2277,122,0,1241
2020-01-16 7:00,2168,3908,0,0
2020-01-16 8:00,2303,3454,0,0
2020-01-16 9:00,2518,3283,0,0
2020-01-16 10:00,2509,2869,0,0
2020-01-16 11:00,2219,2721,0,0
2020-01-16 12:00,2925,2233,0,0
2020-01-16 13:00,3132,0,0,0
2020-01-16 14:00,2494,991,0,0
2020-01-16 15:00,2081,1594,0,0
2020-01-16 16:00,1667,1148,0,959
2020-01-16 17:00,2301,2047,0,0
2020-01-16 18:00,3297,2382,0,0
2020-01-16 19:00,3208,3973,0,0
2020-01-16 20:00,2623,4008,0,0
2020-01-16 21:00,2254,4008,0,0
2020-01-16 22:00,2209,4008,0,0
2020-01-16 23:00,2316,3951,0,0
2020-01-17 0:00,2646,1263,0,0
2020-01-17 1:00,2304,1944,0,0
2020-01-17 2:00,1838,3957,0,0
2020-01-17 3:00,1585,3605,0,0
2020-01-17 4:00,1665,0,0,629
2020-01-17 5:00,1289,575,0,246
2020-01-17 6:00,1189,2290,0,0
2020-01-17 7:00,2364,0,0,0
2020-01-17 8:00,2230,0,0,0
2020-01-17 9:00,1856,1362,0,0
2020-01-17 10:00,1866,1817,0,0
2020-01-17 11:00,1518,3944,0,0
2020-01-17 12:00,1393,3148,0,0
2020-01-17 13:00,1631,1823,0,0
2020-01-17 14:00,1622,0,0,0
2020-01-17 15:00,1104,0,0,0
2020-01-17 16:00,591,0,342,0
2020-01-17 17:00,18,0,582,0
2020-01-17 18:00,346,2363,0,0
2020-01-17 19:00,806,3964,0,0
2020-01-17 20:00,1209,3556,0,0
2020-01-17 21:00,1216,3611,0,0
2020-01-17 22:00,1682,3981,0,0
2020-01-17 23:00,1863,3945,0,0
2020-01-18 0:00,2147,1068,0,0
2020-01-18 1:00,1886,1004,0,0
2020-01-18 2:00,2167,1004,0,0
2020-01-18 3:00,1706,976,0,313
2020-01-18 4:00,1745,0,0,962
2020-01-18 5:00,1809,937,0,0
2020-01-18 6:00,1962,1003,0,0
2020-01-18 7:00,2078,963,0,0
2020-01-18 8:00,1848,0,0,0
2020-01-18 9:00,2447,0,0,0
2020-01-18 10:00,2435,182,0,0
2020-01-18 11:00,2659,0,0,0
2020-01-18 12:00,2903,0,0,0
2020-01-18 13:00,2927,0,0,0
2020-01-18 14:00,2982,0,0,0
2020-01-18 15:00,2777,0,0,0
2020-01-18 16:00,2327,639,0,0
2020-01-18 17:00,2573,997,0,0
2020-01-18 18:00,3144,1004,0,0
2020-01-18 19:00,3033,1004,0,0
2020-01-18 20:00,2234,1004,0,0
2020-01-18 21:00,1754,1004,0,0
2020-01-18 22:00,1453,1004,0,0
2020-01-18 23:00,1020,954,0,0
2020-01-19 0:00,1030,1004,0,0
2020-01-19 1:00,656,1004,0,0
2020-01-19 2:00,506,1004,0,0
2020-01-19 3:00,728,1000,0,0
2020-01-19 4:00,786,881,0,0
2020-01-19 5:00,790,1064,0,0
2020-01-19 6:00,1736,358,0,0
2020-01-19 7:00,1969,1281,0,0
2020-01-19 8:00,1457,1254,0,0
2020-01-19 9:00,1249,1071,0,0
2020-01-19 10:00,1455,525,0,0
2020-01-19 11:00,1204,1175,0,0
2020-01-19 12:00,1016,1072,0,0
2020-01-19 13:00,804,1063,0,0
2020-01-19 14:00,644,1016,0,0
2020-01-19 15:00,552,1004,0,0
2020-01-19 16:00,1032,1067,0,0
2020-01-19 17:00,1769,1447,0,0
2020-01-19 18:00,2186,1325,0,0
2020-01-19 19:00,2176,1189,0,0
2020-01-19 20:00,1787,1030,0,0
2020-01-19 21:00,1500,989,0,0
2020-01-19 22:00,1203,1002,0,0
2020-01-19 23:00,727,1065,0,0
2020-01-20 0:00,0,3944,0,0
2020-01-20 1:00,0,4008,0,0
2020-01-20 2:00,0,4009,0,0
2020-01-20 3:00,0,4007,0,0
2020-01-20 4:00,0,3925,0,0
2020-01-20 5:00,34,3919,0,0
2020-01-20 6:00,359,3308,0,0
2020-01-20 7:00,621,3971,0,0
2020-01-20 8:00,384,3854,0,0
2020-01-20 9:00,78,4005,0,0
2020-01-20 10:00,173,4008,0,0
2020-01-20 11:00,694,4008,0,0
2020-01-20 12:00,625,4001,0,0
2020-01-20 13:00,443,3969,0,0
2020-01-20 14:00,3,4005,0,0
2020-01-20 15:00,0,3876,0,0
2020-01-20 16:00,0,3271,0,0
2020-01-20 17:00,0,3312,184,0
2020-01-20 18:00,925,3997,0,0
2020-01-20 19:00,746,4008,0,0
2020-01-20 20:00,592,4008,0,0
2020-01-20 21:00,347,4008,0,0
2020-01-20 22:00,269,4008,0,0
2020-01-20 23:00,161,4008,0,0
2020-01-21 0:00,223,3994,0,0
2020-01-21 1:00,95,3686,0,0
2020-01-21 2:00,10,4004,0,0
2020-01-21 3:00,0,3999,0,0
2020-01-21 4:00,0,3903,0,0
2020-01-21 5:00,15,3945,0,0
2020-01-21 6:00,53,4007,0,0
2020-01-21 7:00,780,4179,0,0
2020-01-21 8:00,369,4086,0,0
2020-01-21 9:00,471,4013,0,0
2020-01-21 10:00,804,4008,0,0
2020-01-21 11:00,800,4004,0,0
2020-01-21 12:00,663,4008,0,0
2020-01-21 13:00,360,4008,0,0
2020-01-21 14:00,221,3998,0,0
2020-01-21 15:00,105,3577,0,0
2020-01-21 16:00,147,3331,0,0
2020-01-21 17:00,201,3248,461,0
2020-01-21 18:00,610,3999,0,0
2020-01-21 19:00,674,4008,0,0
2020-01-21 20:00,569,4008,0,0
2020-01-21 21:00,480,4008,229,0
2020-01-21 22:00,629,4008,308,0
2020-01-21 23:00,962,3999,0,0
2020-01-22 0:00,843,3786,0,0
2020-01-22 1:00,1248,4003,0,0
2020-01-22 2:00,1246,4008,0,0
2020-01-22 3:00,866,4008,0,0
2020-01-22 4:00,848,3915,0,0
2020-01-22 5:00,1518,3932,0,0
2020-01-22 6:00,1859,3965,0,0
2020-01-22 7:00,1787,3775,0,0
2020-01-22 8:00,1672,3225,0,0
2020-01-22 9:00,1849,2536,0,0
2020-01-22 10:00,1837,2674,0,0
2020-01-22 11:00,1851,2313,0,0
2020-01-22 12:00,1763,3218,0,0
2020-01-22 13:00,1827,2205,0,0
2020-01-22 14:00,1846,2872,0,0
2020-01-22 15:00,1666,1711,0,0
2020-01-22 16:00,1255,2906,0,0
2020-01-22 17:00,1083,1630,0,0
2020-01-22 18:00,1882,1666,0,0
2020-01-22 19:00,2004,1891,0,0
2020-01-22 20:00,1866,2290,0,0
2020-01-22 21:00,1931,1761,0,0
2020-01-22 22:00,1768,3250,0,0
2020-01-22 23:00,2067,1050,0,0
2020-01-23 0:00,993,3936,0,0
2020-01-23 1:00,640,3972,0,0
2020-01-23 2:00,362,2254,0,0
2020-01-23 3:00,194,1393,0,0
2020-01-23 4:00,207,0,35,0
2020-01-23 5:00,514,0,0,0
2020-01-23 6:00,1118,725,0,0
2020-01-23 7:00,1665,1345,0,0
2020-01-23 8:00,1738,2970,0,0
2020-01-23 9:00,2386,2616,0,0
2020-01-23 10:00,2555,1599,0,0
2020-01-23 11:00,2322,2010,0,0
2020-01-23 12:00,2544,1903,0,0
2020-01-23 13:00,2297,2231,174,0
2020-01-23 14:00,1941,1962,655,0
2020-01-23 15:00,1411,3050,1190,0
2020-01-23 16:00,858,3095,1778,0
2020-01-23 17:00,675,3964,2139,0
2020-01-23 18:00,1233,4082,1184,0
2020-01-23 19:00,1606,4288,275,0
2020-01-23 20:00,1390,3857,0,0
2020-01-23 21:00,1154,3895,0,0
2020-01-23 22:00,1394,3867,0,0
2020-01-23 23:00,1653,4129,0,0
2020-01-24 0:00,1048,2657,0,0
2020-01-24 1:00,708,2616,0,0
2020-01-24 2:00,660,2946,85,0
2020-01-24 3:00,478,1651,459,0
2020-01-24 4:00,188,1159,900,0
2020-01-24 5:00,83,2723,415,0
2020-01-24 6:00,598,3822,320,0
2020-01-24 7:00,773,4445,0,0
2020-01-24 8:00,1115,4486,0,0
2020-01-24 9:00,868,4143,0,0
2020-01-24 10:00,885,4123,266,0
2020-01-24 11:00,909,3868,378,0
2020-01-24 12:00,1074,3408,197,0
2020-01-24 13:00,508,3423,655,0
2020-01-24 14:00,81,2825,1464,0
2020-01-24 15:00,0,2497,1993,0
2020-01-24 16:00,0,0,2719,0
2020-01-24 17:00,0,430,2760,0
2020-01-24 18:00,621,1273,1567,0
2020-01-24 19:00,1083,2547,628,0
2020-01-24 20:00,1470,1284,580,0
2020-01-24 21:00,1647,1514,117,0
2020-01-24 22:00,1786,2916,0,0
2020-01-24 23:00,2136,3168,0,0
2020-01-25 0:00,1857,2706,42,0
2020-01-25 1:00,1613,2124,289,0
2020-01-25 2:00,1316,2099,457,0
2020-01-25 3:00,864,960,858,0
2020-01-25 4:00,774,0,1131,0
2020-01-25 5:00,936,140,420,0
2020-01-25 6:00,1034,65,347,0
2020-01-25 7:00,533,0,745,68
2020-01-25 8:00,0,0,781,2531
2020-01-25 9:00,664,0,518,0
2020-01-25 10:00,1240,0,0,0
2020-01-25 11:00,1041,0,68,0
2020-01-25 12:00,869,261,0,0
2020-01-25 13:00,1094,0,0,0
2020-01-25 14:00,1094,0,0,0
2020-01-25 15:00,778,0,225,0
2020-01-25 16:00,910,0,143,0
2020-01-25 17:00,1516,0,0,0
2020-01-25 18:00,2108,3892,0,0
2020-01-25 19:00,2287,3715,0,0
2020-01-25 20:00,2442,2502,0,0
2020-01-25 21:00,1690,3437,0,0
2020-01-25 22:00,1528,3889,0,0
2020-01-25 23:00,1559,3977,0,0
2020-01-26 0:00,1652,4089,0,0
2020-01-26 1:00,2471,592,0,0
2020-01-26 2:00,2851,404,0,0
2020-01-26 3:00,2788,434,0,0
2020-01-26 4:00,2570,304,0,0
2020-01-26 5:00,2994,562,0,0
2020-01-26 6:00,2679,1542,0,0
2020-01-26 7:00,2214,1612,0,0
2020-01-26 8:00,1481,1503,0,0
2020-01-26 9:00,1342,3856,0,0
2020-01-26 10:00,1910,1468,0,0
2020-01-26 11:00,2240,921,0,0
2020-01-26 12:00,2494,1192,0,0
2020-01-26 13:00,1833,3946,0,0
2020-01-26 14:00,1690,4006,0,0
2020-01-26 15:00,1429,3897,0,0
2020-01-26 16:00,1658,1508,0,0
2020-01-26 17:00,1785,143,0,0
2020-01-26 18:00,1828,2694,0,0
2020-01-26 19:00,1906,3328,0,0
2020-01-26 20:00,1771,3580,0,0
2020-01-26 21:00,1551,3220,0,0
2020-01-26 22:00,1544,3555,0,0
2020-01-26 23:00,1559,3870,0,0
2020-01-27 0:00,2545,4,0,0
2020-01-27 1:00,2056,0,0,0
2020-01-27 2:00,1757,1403,0,0
2020-01-27 3:00,1360,829,0,0
2020-01-27 4:00,1058,2486,0,0
2020-01-27 5:00,1302,2247,0,0
2020-01-27 6:00,1863,1387,0,0
2020-01-27 7:00,1663,2213,0,0
2020-01-27 8:00,2417,44,0,0
2020-01-27 9:00,2759,205,0,0
2020-01-27 10:00,2739,79,0,0
2020-01-27 11:00,2536,0,0,0
2020-01-27 12:00,2014,0,0,0
2020-01-27 13:00,1219,2454,0,0
2020-01-27 14:00,2003,0,0,0
2020-01-27 15:00,1474,0,0,0
2020-01-27 16:00,840,26,0,0
2020-01-27 17:00,697,1347,0,0
2020-01-27 18:00,1164,3907,0,0
2020-01-27 19:00,1884,1989,0,0
2020-01-27 20:00,1509,2137,0,0
2020-01-27 21:00,1252,2208,0,0
2020-01-27 22:00,1970,405,0,0
2020-01-27 23:00,2043,1285,0,0
2020-01-28 0:00,1590,1666,0,0
2020-01-28 1:00,1363,557,0,0
2020-01-28 2:00,565,1248,320,0
2020-01-28 3:00,0,0,1467,0
2020-01-28 4:00,0,0,2251,0
2020-01-28 5:00,0,0,2057,0
2020-01-28 6:00,0,0,1510,0
2020-01-28 7:00,0,0,1873,0
2020-01-28 8:00,0,0,2340,0
2020-01-28 9:00,0,0,2272,0
2020-01-28 10:00,0,0,1382,0
2020-01-28 11:00,0,0,1421,0
2020-01-28 12:00,0,0,922,0
2020-01-28 13:00,0,0,667,0
2020-01-28 14:00,0,0,416,0
2020-01-28 15:00,0,0,752,0
2020-01-28 16:00,0,0,1303,0
2020-01-28 17:00,0,0,1861,0
2020-01-28 18:00,0,0,893,0
2020-01-28 19:00,0,2933,0,0
2020-01-28 20:00,0,3622,0,0
2020-01-28 21:00,0,0,0,0
2020-01-28 22:00,0,25,0,0
2020-01-28 23:00,0,0,690,0
2020-01-29 0:00,0,0,1509,0
2020-01-29 1:00,0,0,1832,0
2020-01-29 2:00,0,0,1861,0
2020-01-29 3:00,0,0,1753,0
2020-01-29 4:00,0,0,1363,0
2020-01-29 5:00,0,0,744,0
