,Syral Aalst GT,Syral Aalst ST,AALTER TJ,AMERCOEUR 1R GT,AMERCOEUR 1R ST_cur,EDF Luminus Angleur GT41,EDF Luminus Angleur GT42,EDF Luminus Angleur GT31,EDF Luminus Angleur GT32,AWIRS 4,BEERSE TJ,Beveren 2 Indaver,Beveren Ineos Phenol Chem,Beveren Sleco,Biostoom Oostende,CIERREUX TJ,DOEL 1,DOEL 2,DOEL 3,DOEL 4,DROGENBOS GT1,DROGENBOS GT2,DROGENBOS ST,Euro-Silo,Greenpower Oostende,EDF Luminus Ham GT31,EDF Luminus Ham GT32,EDF Luminus Ham STEG,HERDERSBRUG GT1,HERDERSBRUG GT2,HERDERSBRUG ST,Ipalle Thumaide,Beveren 3 Indaver,INESCO GT1,INESCO GT2,INESCO ST,Intradel Herstal IS,IVBO,IZEGEM,Jemeppe-sur-Sambre GT1,Jemeppe-sur-Sambre GT2,Jemeppe-sur-Sambre ST,Sappi Lanaken GT,STORA LANGERBRUGGE WKK1,STORA LANGERBRUGGE WKK2,Lillo Degussa GT1,Lillo Degussa GT2,Lillo Degussa ST,Marcinelle Energie TGV,Oorderen Bayer,Monsanto Lillo WKK EBL,EDF Luminus Ringvaart STEG,RODENHUIZE 4,SAINT-GHISLAIN STEG,Scheldelaan Exxonmobil,EDF Luminus Seraing GT1,EDF Luminus Seraing GT2,EDF Luminus Seraing TGV,TAMINCO Gent WKK,TIHANGE 1N,TIHANGE 1S,TIHANGE 2,TIHANGE 3,T-Power,Vilvoorde GT,Vilvoorde ST,Wilmarsdonk Total GT1,Wilmarsdonk Total GT2,Wilmarsdonk Total GT3,Zandvliet Power,Zedelgem TJ,Fluxys LNG Zeebrugge WKK,Zeebrugge TJ,Zelzate 2 Knippegroen,Zelzate TJ,Zwijndrecht Lanxess GT,Zwijndrecht Lanxess ST,ISVAG,NOORDSCHOTE TJ,SCHAERBEEK SIOMAB ST1,SCHAERBEEK SIOMAB ST2,SCHAERBEEK SIOMAB ST3,Biomassa Oostende,TURBOJET VOLTA,Borealis Kallo Cogen GT_ST,E-wood,Wind OnS,Wind OffS,Solar,Ampsin-Neuville,Ardenne,Floriffoux,Grand-Malades,Ivoz-Ramet,Lieze,Monsin,Rotselaar Molen Van Doren,Overijse Bovenslagrad IJse
2020-01-01 10:00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.107,0.0403,0.063,0.171482569,0.171482569,0.171482569,0.171482569,0.171482569,0.171482569,0.171482569,0.184433962,0.171482569
2020-01-01 11:00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.1703,0.067,0.081,0.169771545,0.169771545,0.169771545,0.169771545,0.169771545,0.169771545,0.169771545,0.184433962,0.169771545
2020-01-01 12:00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.2539,0.1009,0.075,0.167680294,0.167680294,0.167680294,0.167680294,0.167680294,0.167680294,0.167680294,0.183490566,0.167680294
2020-01-01 13:00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.3383,0.1251,0.044,0.167300067,0.167300067,0.167300067,0.167300067,0.167300067,0.167300067,0.167300067,0.183018868,0.167300067
2020-01-01 14:00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.3835,0.1707,0.015,0.167680294,0.167680294,0.167680294,0.167680294,0.167680294,0.167680294,0.167680294,0.18254717,0.167680294
2020-01-01 15:00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.4204,0.2258,0,0.167490181,0.167490181,0.167490181,0.167490181,0.167490181,0.167490181,0.167490181,0.183018868,0.167490181
2020-01-01 16:00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.4558,0.2527,0,0.169581432,0.169581432,0.169581432,0.169581432,0.169581432,0.169581432,0.169581432,0.183018868,0.169581432
2020-01-01 17:00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.4797,0.2527,0,0.170341886,0.170341886,0.170341886,0.170341886,0.170341886,0.170341886,0.170341886,0.181603774,0.170341886
2020-01-01 18:00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.4978,0.2654,0,0.171482569,0.171482569,0.171482569,0.171482569,0.171482569,0.171482569,0.171482569,0.179716981,0.171482569
2020-01-01 19:00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5287,0.2949,0,0.172623251,0.172623251,0.172623251,0.172623251,0.172623251,0.172623251,0.172623251,0.178301887,0.172623251
2020-01-01 20:00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5539,0.3281,0,0.171482569,0.171482569,0.171482569,0.171482569,0.171482569,0.171482569,0.171482569,0.176886792,0.171482569
2020-01-01 21:00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5933,0.3623,0,0.171102341,0.171102341,0.171102341,0.171102341,0.171102341,0.171102341,0.171102341,0.175943396,0.171102341
2020-01-01 22:00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.6434,0.4011,0,0.172433137,0.172433137,0.172433137,0.172433137,0.172433137,0.172433137,0.172433137,0.175471698,0.172433137
2020-01-01 23:00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.6803,0.4244,0,0.171672682,0.171672682,0.171672682,0.171672682,0.171672682,0.171672682,0.171672682,0.175471698,0.171672682
2020-01-02 0:00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.6957,0.4273,0,0.171292455,0.171292455,0.171292455,0.171292455,0.171292455,0.171292455,0.171292455,0.176415094,0.171292455
2020-01-02 1:00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.7003,0.4266,0,0.171482569,0.171482569,0.171482569,0.171482569,0.171482569,0.171482569,0.171482569,0.176886792,0.171482569
2020-01-02 2:00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.6853,0.4173,0,0.172433137,0.172433137,0.172433137,0.172433137,0.172433137,0.172433137,0.172433137,0.177358491,0.172433137
2020-01-02 3:00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.6615,0.4157,0,0.173003478,0.173003478,0.173003478,0.173003478,0.173003478,0.173003478,0.173003478,0.176886792,0.173003478
2020-01-02 4:00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.6304,0.4124,0,0.17205291,0.17205291,0.17205291,0.17205291,0.17205291,0.17205291,0.17205291,0.176415094,0.17205291
2020-01-02 5:00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5988,0.3876,0,0.171482569,0.171482569,0.171482569,0.171482569,0.171482569,0.171482569,0.171482569,0.175471698,0.171482569
2020-01-02 6:00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.561,0.3861,0,0.169201204,0.169201204,0.169201204,0.169201204,0.169201204,0.169201204,0.169201204,0.175,0.169201204
2020-01-02 7:00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5146,0.3812,0,0.168630863,0.168630863,0.168630863,0.168630863,0.168630863,0.168630863,0.168630863,0.175,0.168630863
2020-01-02 8:00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.4922,0.3591,0.003,0.167870408,0.167870408,0.167870408,0.167870408,0.167870408,0.167870408,0.167870408,0.175,0.167870408
2020-01-02 9:00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.4757,0.3064,0.034,0.167680294,0.167680294,0.167680294,0.167680294,0.167680294,0.167680294,0.167680294,0.175943396,0.167680294
2020-01-02 10:00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.4977,0.2873,0.099,0.166349498,0.166349498,0.166349498,0.166349498,0.166349498,0.166349498,0.166349498,0.176415094,0.166349498
2020-01-02 11:00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5128,0.3102,0.154,0.168060522,0.168060522,0.168060522,0.168060522,0.168060522,0.168060522,0.168060522,0.177358491,0.168060522
2020-01-02 12:00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5413,0.3345,0.166,0.167490181,0.167490181,0.167490181,0.167490181,0.167490181,0.167490181,0.167490181,0.176886792,0.167490181
2020-01-02 13:00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.6011,0.3587,0.126,0.16691984,0.16691984,0.16691984,0.16691984,0.16691984,0.16691984,0.16691984,0.176415094,0.16691984
2020-01-02 14:00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.6683,0.435,0.058,0.168630863,0.168630863,0.168630863,0.168630863,0.168630863,0.168630863,0.168630863,0.174528302,0.168630863
2020-01-02 15:00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.7258,0.5047,0.003,0.169771545,0.169771545,0.169771545,0.169771545,0.169771545,0.169771545,0.169771545,0.172641509,0.169771545
2020-01-02 16:00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.8081,0.546,0,0.171862796,0.171862796,0.171862796,0.171862796,0.171862796,0.171862796,0.171862796,0.170754717,0.171862796
2020-01-02 17:00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.824,0.557,0,0.177376094,0.177376094,0.177376094,0.177376094,0.177376094,0.177376094,0.177376094,0.172169811,0.177376094
2020-01-02 18:00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.825,0.5643,0,0.182128937,0.182128937,0.182128937,0.182128937,0.182128937,0.182128937,0.182128937,0.171698113,0.182128937
2020-01-02 19:00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.7988,0.5852,0,0.181748709,0.181748709,0.181748709,0.181748709,0.181748709,0.181748709,0.181748709,0.171698113,0.181748709
2020-01-02 20:00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.7852,0.5854,0,0.178516776,0.178516776,0.178516776,0.178516776,0.178516776,0.178516776,0.178516776,0.171226415,0.178516776
2020-01-02 21:00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.7392,0.572,0,0.176995866,0.176995866,0.176995866,0.176995866,0.176995866,0.176995866,0.176995866,0.171226415,0.176995866
